,tpr_trans,ratio_case,total_samples,log-fold increase,log_increase
60,-16.118095750958314,1.0,2,0.12,2.302585092994046
61,-16.118095750958314,1.0,2,0.23,2.995732273553991
62,-16.118095750958314,1.0,2,0.33,3.4011973816621555
63,-16.118095750958314,1.0,2,0.43,3.6888794541139363
64,-16.118095750958314,1.0,2,0.52,3.912023005428146
65,-2.1972236884478242,1.0,2,0.61,4.0943445622221
66,-2.9444370844315926,1.0,2,0.69,4.248495242049359
67,-16.118095750958314,1.0,2,0.76,4.382026634673881
68,-16.118095750958314,1.0,2,0.83,4.499809670330265
69,-16.118095750958314,1.0,2,0.9,4.605170185988092
70,-2.1972236884478242,1.0,2,1.45,5.298317366548036
71,-16.118095750958314,1.0,2,2.16,5.991464547107982
72,-16.118095750958314,1.0,2,2.64,6.396929655216146
73,-1.3862939861200076,1.0,2,2.99,6.684611727667927
74,-0.8472976699110584,1.0,2,3.28,6.907755278982137
75,-16.118095750958314,1.0,2,0.08,2.302585092994046
76,-16.118095750958314,1.0,2,0.15,2.995732273553991
77,-16.118095750958314,1.0,2,0.22,3.4011973816621555
78,-16.118095750958314,1.0,2,0.29,3.6888794541139363
79,-16.118095750958314,1.0,2,0.35,3.912023005428146
80,-16.118095750958314,1.0,2,0.42,4.0943445622221
81,-16.118095750958314,1.0,2,0.47,4.248495242049359
82,-16.118095750958314,1.0,2,0.53,4.382026634673881
83,-16.118095750958314,1.0,2,0.58,4.499809670330265
84,-16.118095750958314,1.0,2,0.64,4.605170185988092
85,-16.118095750958314,1.0,2,1.08,5.298317366548036
86,-16.118095750958314,1.0,2,1.69,5.991464547107982
87,-16.118095750958314,1.0,2,2.12,6.396929655216146
88,-0.8472976699110584,1.0,2,2.44,6.684611727667927
89,-2.1972236884478242,1.0,2,2.71,6.907755278982137
90,-16.118095750958314,1.0,2,0.05,2.302585092994046
91,-16.118095750958314,1.0,2,0.1,2.995732273553991
92,-2.1972236884478242,1.0,2,0.15,3.4011973816621555
93,-16.118095750958314,1.0,2,0.19,3.6888794541139363
94,-16.118095750958314,1.0,2,0.24,3.912023005428146
95,-16.118095750958314,1.0,2,0.28,4.0943445622221
96,-16.118095750958314,1.0,2,0.32,4.248495242049359
97,-16.118095750958314,1.0,2,0.36,4.382026634673881
98,-16.118095750958314,1.0,2,0.4,4.499809670330265
99,-16.118095750958314,1.0,2,0.44,4.605170185988092
100,-16.118095750958314,1.0,2,0.78,5.298317366548036
101,-2.1972236884478242,1.0,2,1.28,5.991464547107982
102,-16.118095750958314,1.0,2,1.65,6.396929655216146
103,-2.1972236884478242,1.0,2,1.95,6.684611727667927
104,-2.1972236884478242,1.0,2,2.19,6.907755278982137
105,-16.118095750958314,1.0,2,0.03,2.302585092994046
106,-16.118095750958314,1.0,2,0.07,2.995732273553991
107,-1.3862939861200076,1.0,2,0.1,3.4011973816621555
108,-16.118095750958314,1.0,2,0.13,3.6888794541139363
109,-16.118095750958314,1.0,2,0.16,3.912023005428146
110,-16.118095750958314,1.0,2,0.19,4.0943445622221
111,-16.118095750958314,1.0,2,0.22,4.248495242049359
112,-16.118095750958314,1.0,2,0.25,4.382026634673881
113,-16.118095750958314,1.0,2,0.27,4.499809670330265
114,-16.118095750958314,1.0,2,0.3,4.605170185988092
115,-16.118095750958314,1.0,2,0.55,5.298317366548036
116,-2.1972236884478242,1.0,2,0.95,5.991464547107982
117,-2.1972236884478242,1.0,2,1.26,6.396929655216146
118,-16.118095750958314,1.0,2,1.52,6.684611727667927
119,-16.118095750958314,1.0,2,1.73,6.907755278982137
120,-16.118095750958314,1.0,2,0.02,2.302585092994046
121,-16.118095750958314,1.0,2,0.04,2.995732273553991
122,-16.118095750958314,1.0,2,0.06,3.4011973816621555
123,-16.118095750958314,1.0,2,0.08,3.6888794541139363
124,-16.118095750958314,1.0,2,0.1,3.912023005428146
125,-16.118095750958314,1.0,2,0.12,4.0943445622221
126,-16.118095750958314,1.0,2,0.14,4.248495242049359
127,-2.1972236884478242,1.0,2,0.16,4.382026634673881
128,-16.118095750958314,1.0,2,0.18,4.499809670330265
129,-16.118095750958314,1.0,2,0.2,4.605170185988092
130,-16.118095750958314,1.0,2,0.38,5.298317366548036
131,-16.118095750958314,1.0,2,0.68,5.991464547107982
132,-16.118095750958314,1.0,2,0.93,6.396929655216146
133,-16.118095750958314,1.0,2,1.14,6.684611727667927
134,-16.118095750958314,1.0,2,1.32,6.907755278982137
135,-16.118095750958314,1.0,2,0.01,2.302585092994046
136,-16.118095750958314,1.0,2,0.03,2.995732273553991
137,-16.118095750958314,1.0,2,0.04,3.4011973816621555
138,-16.118095750958314,1.0,2,0.06,3.6888794541139363
139,-16.118095750958314,1.0,2,0.07,3.912023005428146
140,-16.118095750958314,1.0,2,0.08,4.0943445622221
141,-16.118095750958314,1.0,2,0.1,4.248495242049359
142,-16.118095750958314,1.0,2,0.11,4.382026634673881
143,-16.118095750958314,1.0,2,0.12,4.499809670330265
144,-16.118095750958314,1.0,2,0.14,4.605170185988092
145,-2.1972236884478242,1.0,2,0.26,5.298317366548036
146,-16.118095750958314,1.0,2,0.49,5.991464547107982
147,-2.1972236884478242,1.0,2,0.68,6.396929655216146
148,-16.118095750958314,1.0,2,0.85,6.684611727667927
149,-1.3862939861200076,1.0,2,1.0,6.907755278982137
150,-16.118095750958314,2.0,3,0.58,2.302585092994046
151,-16.118095750958314,2.0,3,1.0,2.995732273553991
152,-16.118095750958314,2.0,3,1.32,3.4011973816621555
153,-16.118095750958314,2.0,3,1.58,3.6888794541139363
154,-16.118095750958314,2.0,3,1.81,3.912023005428146
155,-16.118095750958314,2.0,3,2.0,4.0943445622221
156,-16.118095750958314,2.0,3,2.17,4.248495242049359
157,-16.118095750958314,2.0,3,2.32,4.382026634673881
158,-16.118095750958314,2.0,3,2.46,4.499809670330265
159,-2.1972236884478242,2.0,3,2.58,4.605170185988092
160,-2.1972236884478242,2.0,3,3.46,5.298317366548036
161,-2.1972236884478242,2.0,3,4.39,5.991464547107982
162,1.386293986120008,2.0,3,4.95,6.396929655216146
163,2.1972236884478247,2.0,3,5.36,6.684611727667927
164,2.1972236884478247,2.0,3,5.67,6.907755278982137
165,-16.118095750958314,2.0,3,0.42,2.302585092994046
166,-16.118095750958314,2.0,3,0.74,2.995732273553991
167,-2.1972236884478242,2.0,3,1.0,3.4011973816621555
168,-2.1972236884478242,2.0,3,1.22,3.6888794541139363
169,-16.118095750958314,2.0,3,1.42,3.912023005428146
170,-16.118095750958314,2.0,3,1.58,4.0943445622221
171,-16.118095750958314,2.0,3,1.74,4.248495242049359
172,-16.118095750958314,2.0,3,1.87,4.382026634673881
173,-16.118095750958314,2.0,3,2.0,4.499809670330265
174,-16.118095750958314,2.0,3,2.12,4.605170185988092
175,-16.118095750958314,2.0,3,2.94,5.298317366548036
176,-1.3862939861200076,2.0,3,3.84,5.991464547107982
177,0.0,2.0,3,4.39,6.396929655216146
178,2.1972236884478247,2.0,3,4.79,6.684611727667927
179,2.1972236884478247,2.0,3,5.1,6.907755278982137
180,-16.118095750958314,2.0,3,0.26,2.302585092994046
181,-16.118095750958314,2.0,3,0.49,2.995732273553991
182,-16.118095750958314,2.0,3,0.68,3.4011973816621555
183,-16.118095750958314,2.0,3,0.85,3.6888794541139363
184,-16.118095750958314,2.0,3,1.0,3.912023005428146
185,-16.118095750958314,2.0,3,1.14,4.0943445622221
186,-16.118095750958314,2.0,3,1.26,4.248495242049359
187,-16.118095750958314,2.0,3,1.38,4.382026634673881
188,-16.118095750958314,2.0,3,1.49,4.499809670330265
189,-16.118095750958314,2.0,3,1.58,4.605170185988092
190,-16.118095750958314,2.0,3,2.32,5.298317366548036
191,-0.8472976699110584,2.0,3,3.17,5.991464547107982
192,0.0,2.0,3,3.7,6.396929655216146
193,2.1972236884478247,2.0,3,4.09,6.684611727667927
194,16.118095750958314,2.0,3,4.39,6.907755278982137
195,-2.1972236884478242,2.0,3,0.18,2.302585092994046
196,-16.118095750958314,2.0,3,0.34,2.995732273553991
197,-16.118095750958314,2.0,3,0.49,3.4011973816621555
198,-16.118095750958314,2.0,3,0.62,3.6888794541139363
199,-16.118095750958314,2.0,3,0.74,3.912023005428146
200,-16.118095750958314,2.0,3,0.85,4.0943445622221
201,-16.118095750958314,2.0,3,0.95,4.248495242049359
202,-1.3862939861200076,2.0,3,1.05,4.382026634673881
203,-16.118095750958314,2.0,3,1.14,4.499809670330265
204,-16.118095750958314,2.0,3,1.22,4.605170185988092
205,-16.118095750958314,2.0,3,1.87,5.298317366548036
206,-2.1972236884478242,2.0,3,2.66,5.991464547107982
207,-0.40546502477484814,2.0,3,3.17,6.396929655216146
208,0.4054650247748482,2.0,3,3.54,6.684611727667927
209,2.1972236884478247,2.0,3,3.84,6.907755278982137
210,-16.118095750958314,2.0,3,0.12,2.302585092994046
211,-16.118095750958314,2.0,3,0.23,2.995732273553991
212,-16.118095750958314,2.0,3,0.33,3.4011973816621555
213,-16.118095750958314,2.0,3,0.43,3.6888794541139363
214,-16.118095750958314,2.0,3,0.52,3.912023005428146
215,-16.118095750958314,2.0,3,0.61,4.0943445622221
216,-16.118095750958314,2.0,3,0.69,4.248495242049359
217,-2.1972236884478242,2.0,3,0.76,4.382026634673881
218,-16.118095750958314,2.0,3,0.83,4.499809670330265
219,-16.118095750958314,2.0,3,0.9,4.605170185988092
220,-2.1972236884478242,2.0,3,1.45,5.298317366548036
221,-2.1972236884478242,2.0,3,2.16,5.991464547107982
222,-0.40546502477484814,2.0,3,2.64,6.396929655216146
223,-0.40546502477484814,2.0,3,2.99,6.684611727667927
224,2.1972236884478247,2.0,3,3.28,6.907755278982137
225,-16.118095750958314,2.0,3,0.08,2.302585092994046
226,-16.118095750958314,2.0,3,0.15,2.995732273553991
227,-16.118095750958314,2.0,3,0.22,3.4011973816621555
228,-16.118095750958314,2.0,3,0.29,3.6888794541139363
229,-16.118095750958314,2.0,3,0.35,3.912023005428146
230,-16.118095750958314,2.0,3,0.42,4.0943445622221
231,-16.118095750958314,2.0,3,0.47,4.248495242049359
232,-16.118095750958314,2.0,3,0.53,4.382026634673881
233,-16.118095750958314,2.0,3,0.58,4.499809670330265
234,-16.118095750958314,2.0,3,0.64,4.605170185988092
235,-16.118095750958314,2.0,3,1.08,5.298317366548036
236,0.0,2.0,3,1.69,5.991464547107982
237,0.4054650247748482,2.0,3,2.12,6.396929655216146
238,0.0,2.0,3,2.44,6.684611727667927
239,1.386293986120008,2.0,3,2.71,6.907755278982137
240,-16.118095750958314,2.0,3,0.05,2.302585092994046
241,-16.118095750958314,2.0,3,0.1,2.995732273553991
242,-16.118095750958314,2.0,3,0.15,3.4011973816621555
243,-16.118095750958314,2.0,3,0.19,3.6888794541139363
244,-16.118095750958314,2.0,3,0.24,3.912023005428146
245,-16.118095750958314,2.0,3,0.28,4.0943445622221
246,-16.118095750958314,2.0,3,0.32,4.248495242049359
247,-16.118095750958314,2.0,3,0.36,4.382026634673881
248,-16.118095750958314,2.0,3,0.4,4.499809670330265
249,-16.118095750958314,2.0,3,0.44,4.605170185988092
250,-16.118095750958314,2.0,3,0.78,5.298317366548036
251,-2.1972236884478242,2.0,3,1.28,5.991464547107982
252,0.0,2.0,3,1.65,6.396929655216146
253,0.8472976699110583,2.0,3,1.95,6.684611727667927
254,1.386293986120008,2.0,3,2.19,6.907755278982137
255,-16.118095750958314,2.0,3,0.03,2.302585092994046
256,-16.118095750958314,2.0,3,0.07,2.995732273553991
257,-16.118095750958314,2.0,3,0.1,3.4011973816621555
258,-16.118095750958314,2.0,3,0.13,3.6888794541139363
259,-16.118095750958314,2.0,3,0.16,3.912023005428146
260,-16.118095750958314,2.0,3,0.19,4.0943445622221
261,-16.118095750958314,2.0,3,0.22,4.248495242049359
262,-16.118095750958314,2.0,3,0.25,4.382026634673881
263,-16.118095750958314,2.0,3,0.27,4.499809670330265
264,-2.1972236884478242,2.0,3,0.3,4.605170185988092
265,-2.1972236884478242,2.0,3,0.55,5.298317366548036
266,-2.1972236884478242,2.0,3,0.95,5.991464547107982
267,-0.8472976699110584,2.0,3,1.26,6.396929655216146
268,0.0,2.0,3,1.52,6.684611727667927
269,1.386293986120008,2.0,3,1.73,6.907755278982137
270,-16.118095750958314,2.0,3,0.02,2.302585092994046
271,-16.118095750958314,2.0,3,0.04,2.995732273553991
272,-16.118095750958314,2.0,3,0.06,3.4011973816621555
273,-16.118095750958314,2.0,3,0.08,3.6888794541139363
274,-16.118095750958314,2.0,3,0.1,3.912023005428146
275,-16.118095750958314,2.0,3,0.12,4.0943445622221
276,-16.118095750958314,2.0,3,0.14,4.248495242049359
277,-16.118095750958314,2.0,3,0.16,4.382026634673881
278,-16.118095750958314,2.0,3,0.18,4.499809670330265
279,-16.118095750958314,2.0,3,0.2,4.605170185988092
280,-2.1972236884478242,2.0,3,0.38,5.298317366548036
281,-2.1972236884478242,2.0,3,0.68,5.991464547107982
282,-1.3862939861200076,2.0,3,0.93,6.396929655216146
283,0.0,2.0,3,1.14,6.684611727667927
284,0.4054650247748482,2.0,3,1.32,6.907755278982137
285,-16.118095750958314,2.0,3,0.01,2.302585092994046
286,-16.118095750958314,2.0,3,0.03,2.995732273553991
287,-16.118095750958314,2.0,3,0.04,3.4011973816621555
288,-16.118095750958314,2.0,3,0.06,3.6888794541139363
289,-16.118095750958314,2.0,3,0.07,3.912023005428146
290,-2.1972236884478242,2.0,3,0.08,4.0943445622221
291,-16.118095750958314,2.0,3,0.1,4.248495242049359
292,-16.118095750958314,2.0,3,0.11,4.382026634673881
293,-16.118095750958314,2.0,3,0.12,4.499809670330265
294,-2.1972236884478242,2.0,3,0.14,4.605170185988092
295,-1.3862939861200076,2.0,3,0.26,5.298317366548036
296,-16.118095750958314,2.0,3,0.49,5.991464547107982
297,-2.1972236884478242,2.0,3,0.68,6.396929655216146
298,-0.8472976699110584,2.0,3,0.85,6.684611727667927
299,-0.40546502477484814,2.0,3,1.0,6.907755278982137
300,-16.118095750958314,3.0,4,0.58,2.302585092994046
301,-16.118095750958314,3.0,4,1.0,2.995732273553991
302,-16.118095750958314,3.0,4,1.32,3.4011973816621555
303,-16.118095750958314,3.0,4,1.58,3.6888794541139363
304,-16.118095750958314,3.0,4,1.81,3.912023005428146
305,-16.118095750958314,3.0,4,2.0,4.0943445622221
306,-16.118095750958314,3.0,4,2.17,4.248495242049359
307,-2.1972236884478242,3.0,4,2.32,4.382026634673881
308,-16.118095750958314,3.0,4,2.46,4.499809670330265
309,-16.118095750958314,3.0,4,2.58,4.605170185988092
310,-16.118095750958314,3.0,4,3.46,5.298317366548036
311,0.4054650247748482,3.0,4,4.39,5.991464547107982
312,16.118095750958314,3.0,4,4.95,6.396929655216146
313,16.118095750958314,3.0,4,5.36,6.684611727667927
314,16.118095750958314,3.0,4,5.67,6.907755278982137
315,-16.118095750958314,3.0,4,0.42,2.302585092994046
316,-16.118095750958314,3.0,4,0.74,2.995732273553991
317,-16.118095750958314,3.0,4,1.0,3.4011973816621555
318,-16.118095750958314,3.0,4,1.22,3.6888794541139363
319,-16.118095750958314,3.0,4,1.42,3.912023005428146
320,-16.118095750958314,3.0,4,1.58,4.0943445622221
321,-16.118095750958314,3.0,4,1.74,4.248495242049359
322,-16.118095750958314,3.0,4,1.87,4.382026634673881
323,-16.118095750958314,3.0,4,2.0,4.499809670330265
324,-16.118095750958314,3.0,4,2.12,4.605170185988092
325,-0.8472976699110584,3.0,4,2.94,5.298317366548036
326,0.0,3.0,4,3.84,5.991464547107982
327,1.386293986120008,3.0,4,4.39,6.396929655216146
328,16.118095750958314,3.0,4,4.79,6.684611727667927
329,16.118095750958314,3.0,4,5.1,6.907755278982137
330,-16.118095750958314,3.0,4,0.26,2.302585092994046
331,-16.118095750958314,3.0,4,0.49,2.995732273553991
332,-16.118095750958314,3.0,4,0.68,3.4011973816621555
333,-16.118095750958314,3.0,4,0.85,3.6888794541139363
334,-16.118095750958314,3.0,4,1.0,3.912023005428146
335,-16.118095750958314,3.0,4,1.14,4.0943445622221
336,-16.118095750958314,3.0,4,1.26,4.248495242049359
337,-16.118095750958314,3.0,4,1.38,4.382026634673881
338,-16.118095750958314,3.0,4,1.49,4.499809670330265
339,-16.118095750958314,3.0,4,1.58,4.605170185988092
340,-16.118095750958314,3.0,4,2.32,5.298317366548036
341,0.0,3.0,4,3.17,5.991464547107982
342,16.118095750958314,3.0,4,3.7,6.396929655216146
343,16.118095750958314,3.0,4,4.09,6.684611727667927
344,16.118095750958314,3.0,4,4.39,6.907755278982137
345,-16.118095750958314,3.0,4,0.18,2.302585092994046
346,-16.118095750958314,3.0,4,0.34,2.995732273553991
347,-16.118095750958314,3.0,4,0.49,3.4011973816621555
348,-16.118095750958314,3.0,4,0.62,3.6888794541139363
349,-16.118095750958314,3.0,4,0.74,3.912023005428146
350,-16.118095750958314,3.0,4,0.85,4.0943445622221
351,-2.1972236884478242,3.0,4,0.95,4.248495242049359
352,-16.118095750958314,3.0,4,1.05,4.382026634673881
353,-16.118095750958314,3.0,4,1.14,4.499809670330265
354,-2.1972236884478242,3.0,4,1.22,4.605170185988092
355,-16.118095750958314,3.0,4,1.87,5.298317366548036
356,-0.40546502477484814,3.0,4,2.66,5.991464547107982
357,0.4054650247748482,3.0,4,3.17,6.396929655216146
358,16.118095750958314,3.0,4,3.54,6.684611727667927
359,16.118095750958314,3.0,4,3.84,6.907755278982137
360,-16.118095750958314,3.0,4,0.12,2.302585092994046
361,-16.118095750958314,3.0,4,0.23,2.995732273553991
362,-2.1972236884478242,3.0,4,0.33,3.4011973816621555
363,-16.118095750958314,3.0,4,0.43,3.6888794541139363
364,-16.118095750958314,3.0,4,0.52,3.912023005428146
365,-16.118095750958314,3.0,4,0.61,4.0943445622221
366,-16.118095750958314,3.0,4,0.69,4.248495242049359
367,-16.118095750958314,3.0,4,0.76,4.382026634673881
368,-16.118095750958314,3.0,4,0.83,4.499809670330265
369,-16.118095750958314,3.0,4,0.9,4.605170185988092
370,-16.118095750958314,3.0,4,1.45,5.298317366548036
371,-0.40546502477484814,3.0,4,2.16,5.991464547107982
372,1.386293986120008,3.0,4,2.64,6.396929655216146
373,16.118095750958314,3.0,4,2.99,6.684611727667927
374,16.118095750958314,3.0,4,3.28,6.907755278982137
375,-16.118095750958314,3.0,4,0.08,2.302585092994046
376,-16.118095750958314,3.0,4,0.15,2.995732273553991
377,-16.118095750958314,3.0,4,0.22,3.4011973816621555
378,-16.118095750958314,3.0,4,0.29,3.6888794541139363
379,-16.118095750958314,3.0,4,0.35,3.912023005428146
380,-16.118095750958314,3.0,4,0.42,4.0943445622221
381,-16.118095750958314,3.0,4,0.47,4.248495242049359
382,-16.118095750958314,3.0,4,0.53,4.382026634673881
383,-16.118095750958314,3.0,4,0.58,4.499809670330265
384,-16.118095750958314,3.0,4,0.64,4.605170185988092
385,-16.118095750958314,3.0,4,1.08,5.298317366548036
386,-0.8472976699110584,3.0,4,1.69,5.991464547107982
387,0.4054650247748482,3.0,4,2.12,6.396929655216146
388,1.386293986120008,3.0,4,2.44,6.684611727667927
389,16.118095750958314,3.0,4,2.71,6.907755278982137
390,-16.118095750958314,3.0,4,0.05,2.302585092994046
391,-16.118095750958314,3.0,4,0.1,2.995732273553991
392,-16.118095750958314,3.0,4,0.15,3.4011973816621555
393,-16.118095750958314,3.0,4,0.19,3.6888794541139363
394,-16.118095750958314,3.0,4,0.24,3.912023005428146
395,-16.118095750958314,3.0,4,0.28,4.0943445622221
396,-16.118095750958314,3.0,4,0.32,4.248495242049359
397,-16.118095750958314,3.0,4,0.36,4.382026634673881
398,-16.118095750958314,3.0,4,0.4,4.499809670330265
399,-16.118095750958314,3.0,4,0.44,4.605170185988092
400,-16.118095750958314,3.0,4,0.78,5.298317366548036
401,-1.3862939861200076,3.0,4,1.28,5.991464547107982
402,0.4054650247748482,3.0,4,1.65,6.396929655216146
403,1.386293986120008,3.0,4,1.95,6.684611727667927
404,16.118095750958314,3.0,4,2.19,6.907755278982137
405,-16.118095750958314,3.0,4,0.03,2.302585092994046
406,-16.118095750958314,3.0,4,0.07,2.995732273553991
407,-16.118095750958314,3.0,4,0.1,3.4011973816621555
408,-16.118095750958314,3.0,4,0.13,3.6888794541139363
409,-16.118095750958314,3.0,4,0.16,3.912023005428146
410,-16.118095750958314,3.0,4,0.19,4.0943445622221
411,-16.118095750958314,3.0,4,0.22,4.248495242049359
412,-16.118095750958314,3.0,4,0.25,4.382026634673881
413,-16.118095750958314,3.0,4,0.27,4.499809670330265
414,-16.118095750958314,3.0,4,0.3,4.605170185988092
415,-1.3862939861200076,3.0,4,0.55,5.298317366548036
416,-2.1972236884478242,3.0,4,0.95,5.991464547107982
417,-0.8472976699110584,3.0,4,1.26,6.396929655216146
418,1.386293986120008,3.0,4,1.52,6.684611727667927
419,1.386293986120008,3.0,4,1.73,6.907755278982137
420,-16.118095750958314,3.0,4,0.02,2.302585092994046
421,-16.118095750958314,3.0,4,0.04,2.995732273553991
422,-16.118095750958314,3.0,4,0.06,3.4011973816621555
423,-16.118095750958314,3.0,4,0.08,3.6888794541139363
424,-16.118095750958314,3.0,4,0.1,3.912023005428146
425,-16.118095750958314,3.0,4,0.12,4.0943445622221
426,-16.118095750958314,3.0,4,0.14,4.248495242049359
427,-2.1972236884478242,3.0,4,0.16,4.382026634673881
428,-2.1972236884478242,3.0,4,0.18,4.499809670330265
429,-16.118095750958314,3.0,4,0.2,4.605170185988092
430,-16.118095750958314,3.0,4,0.38,5.298317366548036
431,-16.118095750958314,3.0,4,0.68,5.991464547107982
432,-1.3862939861200076,3.0,4,0.93,6.396929655216146
433,-0.8472976699110584,3.0,4,1.14,6.684611727667927
434,0.8472976699110583,3.0,4,1.32,6.907755278982137
435,-16.118095750958314,3.0,4,0.01,2.302585092994046
436,-16.118095750958314,3.0,4,0.03,2.995732273553991
437,-2.1972236884478242,3.0,4,0.04,3.4011973816621555
438,-2.1972236884478242,3.0,4,0.06,3.6888794541139363
439,-16.118095750958314,3.0,4,0.07,3.912023005428146
440,-16.118095750958314,3.0,4,0.08,4.0943445622221
441,-16.118095750958314,3.0,4,0.1,4.248495242049359
442,-2.1972236884478242,3.0,4,0.11,4.382026634673881
443,-16.118095750958314,3.0,4,0.12,4.499809670330265
444,-16.118095750958314,3.0,4,0.14,4.605170185988092
445,-16.118095750958314,3.0,4,0.26,5.298317366548036
446,-2.1972236884478242,3.0,4,0.49,5.991464547107982
447,-0.40546502477484814,3.0,4,0.68,6.396929655216146
448,0.0,3.0,4,0.85,6.684611727667927
449,0.0,3.0,4,1.0,6.907755278982137
450,-2.1972236884478242,4.0,5,0.58,2.302585092994046
451,-1.3862939861200076,4.0,5,1.0,2.995732273553991
452,-16.118095750958314,4.0,5,1.32,3.4011973816621555
453,-16.118095750958314,4.0,5,1.58,3.6888794541139363
454,-16.118095750958314,4.0,5,1.81,3.912023005428146
455,-16.118095750958314,4.0,5,2.0,4.0943445622221
456,-16.118095750958314,4.0,5,2.17,4.248495242049359
457,-2.1972236884478242,4.0,5,2.32,4.382026634673881
458,-16.118095750958314,4.0,5,2.46,4.499809670330265
459,-16.118095750958314,4.0,5,2.58,4.605170185988092
460,-0.8472976699110584,4.0,5,3.46,5.298317366548036
461,2.1972236884478247,4.0,5,4.39,5.991464547107982
462,16.118095750958314,4.0,5,4.95,6.396929655216146
463,16.118095750958314,4.0,5,5.36,6.684611727667927
464,16.118095750958314,4.0,5,5.67,6.907755278982137
465,-16.118095750958314,4.0,5,0.42,2.302585092994046
466,-16.118095750958314,4.0,5,0.74,2.995732273553991
467,-16.118095750958314,4.0,5,1.0,3.4011973816621555
468,-16.118095750958314,4.0,5,1.22,3.6888794541139363
469,-16.118095750958314,4.0,5,1.42,3.912023005428146
470,-16.118095750958314,4.0,5,1.58,4.0943445622221
471,-16.118095750958314,4.0,5,1.74,4.248495242049359
472,-16.118095750958314,4.0,5,1.87,4.382026634673881
473,-2.1972236884478242,4.0,5,2.0,4.499809670330265
474,-16.118095750958314,4.0,5,2.12,4.605170185988092
475,-0.40546502477484814,4.0,5,2.94,5.298317366548036
476,2.1972236884478247,4.0,5,3.84,5.991464547107982
477,2.1972236884478247,4.0,5,4.39,6.396929655216146
