,tpr_trans,ratio_case,total_samples,log-fold increase,log_increase
0,-16.118095750958314,1.0,2,0.58,2.302585092994046
1,-16.118095750958314,1.0,2,1.0,2.995732273553991
2,-16.118095750958314,1.0,2,1.32,3.4011973816621555
3,-16.118095750958314,1.0,2,1.58,3.6888794541139363
4,-2.1972236884478242,1.0,2,1.81,3.912023005428146
5,-2.1972236884478242,1.0,2,2.0,4.0943445622221
6,-16.118095750958314,1.0,2,2.17,4.248495242049359
7,-2.1972236884478242,1.0,2,2.32,4.382026634673881
8,-16.118095750958314,1.0,2,2.46,4.499809670330265
9,-16.118095750958314,1.0,2,2.58,4.605170185988092
10,-16.118095750958314,1.0,2,3.46,5.298317366548036
11,-16.118095750958314,1.0,2,4.39,5.991464547107982
12,-16.118095750958314,1.0,2,4.95,6.396929655216146
13,-0.8472976699110584,1.0,2,5.36,6.684611727667927
14,-2.1972236884478242,1.0,2,5.67,6.907755278982137
15,-16.118095750958314,1.0,2,0.42,2.302585092994046
16,-16.118095750958314,1.0,2,0.74,2.995732273553991
17,-16.118095750958314,1.0,2,1.0,3.4011973816621555
18,-16.118095750958314,1.0,2,1.22,3.6888794541139363
19,-16.118095750958314,1.0,2,1.42,3.912023005428146
20,-16.118095750958314,1.0,2,1.58,4.0943445622221
21,-16.118095750958314,1.0,2,1.74,4.248495242049359
22,-16.118095750958314,1.0,2,1.87,4.382026634673881
23,-16.118095750958314,1.0,2,2.0,4.499809670330265
24,-16.118095750958314,1.0,2,2.12,4.605170185988092
25,-2.1972236884478242,1.0,2,2.94,5.298317366548036
26,-2.1972236884478242,1.0,2,3.84,5.991464547107982
27,-2.1972236884478242,1.0,2,4.39,6.396929655216146
28,-16.118095750958314,1.0,2,4.79,6.684611727667927
29,-16.118095750958314,1.0,2,5.1,6.907755278982137
30,-16.118095750958314,1.0,2,0.26,2.302585092994046
31,-16.118095750958314,1.0,2,0.49,2.995732273553991
32,-16.118095750958314,1.0,2,0.68,3.4011973816621555
33,-16.118095750958314,1.0,2,0.85,3.6888794541139363
34,-16.118095750958314,1.0,2,1.0,3.912023005428146
35,-16.118095750958314,1.0,2,1.14,4.0943445622221
36,-16.118095750958314,1.0,2,1.26,4.248495242049359
37,-16.118095750958314,1.0,2,1.38,4.382026634673881
38,-16.118095750958314,1.0,2,1.49,4.499809670330265
39,-16.118095750958314,1.0,2,1.58,4.605170185988092
40,-16.118095750958314,1.0,2,2.32,5.298317366548036
41,-16.118095750958314,1.0,2,3.17,5.991464547107982
42,-2.1972236884478242,1.0,2,3.7,6.396929655216146
43,-1.3862939861200076,1.0,2,4.09,6.684611727667927
44,-1.3862939861200076,1.0,2,4.39,6.907755278982137
45,-16.118095750958314,1.0,2,0.18,2.302585092994046
46,-16.118095750958314,1.0,2,0.34,2.995732273553991
47,-16.118095750958314,1.0,2,0.49,3.4011973816621555
48,-2.1972236884478242,1.0,2,0.62,3.6888794541139363
49,-16.118095750958314,1.0,2,0.74,3.912023005428146
50,-16.118095750958314,1.0,2,0.85,4.0943445622221
51,-16.118095750958314,1.0,2,0.95,4.248495242049359
52,-16.118095750958314,1.0,2,1.05,4.382026634673881
53,-16.118095750958314,1.0,2,1.14,4.499809670330265
54,-16.118095750958314,1.0,2,1.22,4.605170185988092
55,-16.118095750958314,1.0,2,1.87,5.298317366548036
56,-16.118095750958314,1.0,2,2.66,5.991464547107982
57,-2.1972236884478242,1.0,2,3.17,6.396929655216146
58,-1.3862939861200076,1.0,2,3.54,6.684611727667927
59,0.8472976699110583,1.0,2,3.84,6.907755278982137
